Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Average
Ahmedabad,535,535,535,535.0,535,535,-,535,540,540,-,540,520,520,520,520,520,525.0,530,535,540,545,-,555,560,570,-,-,535,-,535.83
Ajmer,455,470,470,475.0,490,490,-,500,500,500,490,475,475,475,465,470,475,485.0,495,500,505,505,505,510,521,530,535,540,455,-,491.46
Barwala,450,450,450,450.0,457,466,468,475,482,482,482,470,467,460,460,463,465,470.0,475,480,483,483,483,493,503,511,513,517,450,-,474.41
Bengaluru (CC),605,605,605,605.0,605,605,605,605,605,605,605,605,605,605,605,585,585,585.0,585,585,585,585,590,595,600,605,610,615,605,,599.66
Brahmapur (OD),517,510,500,500.0,505,505,520,530,540,545,545,545,545,515,515,515,525,530.0,540,540,540,545,545,550,560,570,575,575,517,,533.24
Chennai (CC),620,620,620,620.0,620,620,620,620,620,620,620,620,620,620,620,600,590,590.0,590,590,600,600,610,610,620,620,630,630,620,,613.79
Chittoor,613,613,613,613.0,613,613,613,613,613,613,613,613,613,613,613,593,583,,583,583,593,593,603,603,613,613,623,623,613,,607.64
Delhi (CC),480,480,480,480.0,480,488,488,488,500,502,502,502,502,502,485,485,485,490.0,500,505,505,505,505,510,525,530,530,540,480,,498.41
E.Godavari,510,510,510,510.0,515,515,515,520,530,535,535,535,535,500,500,500,505,510.0,520,525,525,525,530,535,545,555,560,565,510,,523.62
Hospet,555,555,555,555.0,555,555,555,555,555,555,555,555,555,555,555,535,535,535.0,535,535,535,535,540,545,550,555,560,565,555,,549.66
Hyderabad,525,525,525,525.0,525,525,530,535,540,540,540,540,540,540,540,510,510,510.0,510,515,520,525,530,535,540,545,550,555,525,,530.17
Jabalpur,520,520,520,525.0,530,535,535,540,545,545,545,545,520,520,520,520,520,520.0,525,530,535,540,540,560,565,565,565,575,520,,536.03
Kolkata (WB),550,550,530,530.0,540,550,560,570,580,580,580,560,560,560,560,560,565,575.0,585,590,590,600,600,610,620,630,630,635,550,,575.86
Ludhiana,460,460,460,450.0,450,461,464,466,476,481,481,481,481,464,464,464,465,473.0,475,478,481,481,481,481,498,512,512,512,460,,474.9
Mumbai (CC),595,595,595,595.0,595,595,600,605,610,610,610,610,590,590,590,570,570,570.0,570,575,580,585,-,595,605,610,615,620,595,,594.46
Mysuru,610,610,610,,610,610,610,610,610,610,-,610,610,610,610,590,590,590.0,590,590,-,-,595,600,605,610,615,620,610,,605.4
Namakkal,560,560,560,560.0,560,560,560,560,560,560,560,560,560,560,560,540,540,540.0,540,540,540,540,545,550,555,560,565,570,560,,554.66
Pune,595,595,595,595.0,595,595,601,605,611,611,611,611,590,590,580,560,560,560.0,560,570,580,585,590,595,601,606,611,616,595,,592.03
Raipur,515,510,525,525.0,530,535,535,535,545,550,550,545,535,520,505,505,508,511.0,521,531,531,543,543,547,552,560,565,565,515,,533.0
Surat,550,550,550,550.0,550,550,-,555,560,560,-,560,550,550,540,550,550,550.0,555,560,560,565,-,575,580,585,-,-,550,,556.46
Vijayawada,525,525,525,525.0,530,535,540,540,550,550,550,550,535,515,515,515,515,530.0,540,550,550,550,550,550,560,575,575,575,525,,540.34
Vizag,535,535,535,535.0,535,535,535,535,545,550,550,550,550,550,550,550,550,550.0,555,565,565,565,565,565,570,575,575,580,535,,551.38
W.Godavari,510,510,510,510.0,515,515,515,520,530,535,535,535,535,500,500,500,505,510.0,520,525,525,530,530,535,545,555,560,565,510,,523.79
Warangal,527,527,527,,527,527,532,537,542,542,542,542,542,542,542,512,512,512.0,517,517,522,527,532,537,542,547,-,557,527,,531.81
Allahabad (CC),514,514,514,514.0,514,524,524,529,538,538,538,538,538,529,524,524,524,529.0,538,543,543,543,543,548,557,562,571,581,514,,534.83
Bhopal,510,510,525,525.0,525,535,-,535,540,540,540,540,520,520,520,520,520,520.0,520,530,535,540,540,545,560,570,570,570,510,,533.39
Indore (CC),485,495,500,500.0,515,515,515,525,525,525,515,500,500,500,500,500,505,515.0,525,530,535,535,535,540,550,560,560,565,485,,519.14
Kanpur (CC),495,495,495,495.0,495,495,495,505,519,519,519,519,519,519,519,519,519,519.0,519,529,529,529,529,533,548,548,557,567,495,,518.72
Luknow (CC),524,524,517,517.0,517,517,495,524,533,524,519,524,524,533,533,533,533,533.0,550,550,550,550,550,550,567,567,573,583,524,,535.79
Muzaffurpur (CC),515,515,515,515.0,520,530,517,535,545,545,524,540,530,520,520,525,525,530.0,535,540,540,540,540,555,570,575,575,580,515,,535.55
Nagpur,555,555,555,555.0,560,565,530,570,570,580,545,580,560,550,455,550,540,540.0,540,540,545,545,560,560,565,590,590,590,555,,555.0
Patna,515,515,515,515.0,520,530,-,535,545,545,580,540,530,520,520,525,525,530.0,535,540,540,540,540,555,570,575,575,580,515,,538.21
Ranchi (CC),524,524,524,524.0,524,524,530,533,538,538,545,548,548,538,529,529,529,529.0,538,538,552,552,552,552,562,567,571,571,-,,540.46
Varanasi (CC),500,507,507,507.0,510,517,524,524,530,530,548,530,530,523,513,513,517,524.0,524,527,530,530,530,533,550,557,560,563,500,,526.14
